name,team,age,pos,games,gamesStarted,targets,receptions,catchPercentage,yards,yardsPerRec,td,long,recPerGame,yardPerGame,fumbles
TRAVARIS CADET,NOR,27,"",2,0,10,5,50.0,31,6.2,1,10,2.5,15.5,0
JARED COOK,GNB,29,TE,2,2,8,5,62.5,38,7.6,0,14,2.5,19.0,0
LARRY DONNELL,NYG,28,TE,2,2,7,5,71.4,39,7.8,1,15,2.5,19.5,0
PHILLIP DORSETT,IND,23,"",2,0,11,5,45.5,124,24.8,0,51,2.5,62.0,0
MICHAEL FLOYD,ARI,27,WR,2,2,13,5,38.5,69,13.8,1,39,2.5,34.5,0
JUSTIN FORSETT,BAL,31,RB,2,2,7,5,71.4,24,4.8,0,10,2.5,12.0,0
CARLOS HYDE,SFO,25,RB,2,2,6,5,83.3,23,4.6,0,13,2.5,11.5,1
DOUG MARTIN,TAM,27,RB,2,2,5,5,100.0,34,6.8,0,14,2.5,17.0,0
CHRISTINE MICHAEL,SEA,26,RB,2,1,8,5,62.5,31,6.2,0,13,2.5,15.5,1
SETH ROBERTS,OAK,25,"",2,0,10,5,50.0,44,8.8,1,14,2.5,22.0,0
TORREY SMITH,SFO,27,WR,2,2,16,5,31.3,68,13.6,1,28,2.5,34.0,0
CHRIS THOMPSON,WAS,26,"",2,0,6,5,83.3,73,14.6,0,38,2.5,36.5,0
WILL TYE,NYG,25,"",2,0,6,5,83.3,26,5.2,0,7,2.5,13.0,0
C.J. UZOMAH,CIN,23,TE,2,2,13,5,38.5,68,13.6,0,54,2.5,34.0,0
TYRELL WILLIAMS,SDG,24,"",2,0,11,5,45.5,132,26.4,1,44,2.5,66.0,0
ALBERT WILSON,KAN,24,WR,2,1,8,5,62.5,12,2.4,0,7,2.5,6.0,0
ROBERT WOODS,BUF,24,WR,2,2,7,5,71.4,30,6.0,0,10,2.5,15.0,0
JAY AJAYI,MIA,23,"",1,0,4,4,100.0,31,7.8,0,11,4.0,31.0,1
GARY BARNIDGE,CLE,31,TE,2,2,7,4,57.1,37,9.3,0,14,2.0,18.5,0
COREY BROWN,CAR,25,"",2,0,8,4,50.0,26,6.5,0,11,2.0,13.0,0
SAMMIE COATES,PIT,23,WR,2,2,8,4,50.0,153,38.3,0,53,2.0,76.5,0
DARREN FELLS,ARI,30,TE,2,1,5,4,80.0,31,7.8,0,11,2.0,15.5,0
DEVONTA FREEMAN,ATL,24,RB,2,2,4,4,100.0,20,5.0,0,11,2.0,10.0,0
JIMMY GRAHAM,SEA,30,TE,2,1,5,4,80.0,53,13.3,0,17,2.0,26.5,0
DORIAL GREEN-BECKHAM,PHI,23,WR,2,1,6,4,66.7,32,8.0,0,9,2.0,16.0,0
JERMAINE GRESHAM,ARI,28,TE,2,1,5,4,80.0,41,10.3,0,15,2.0,20.5,0
AUSTIN HOOPER,ATL,22,"",2,0,4,4,100.0,98,24.5,0,44,2.0,49.0,0
ANDRE JOHNSON,TEN,35,"",2,0,8,4,50.0,39,9.8,1,16,2.0,19.5,0
MARCEDES LEWIS,JAX,32,TE,2,2,5,4,80.0,65,16.3,1,37,2.0,32.5,0
BRIAN QUICK,LAR,27,WR,2,1,6,4,66.7,31,7.8,0,15,2.0,15.5,0
PAUL RICHARDSON,SEA,24,"",2,0,8,4,50.0,46,11.5,0,14,2.0,23.0,0
GREG SALAS,BUF,28,WR,2,1,6,4,66.7,89,22.3,1,71,2.0,44.5,0
LEE SMITH,OAK,29,TE,2,2,4,4,100.0,24,6.0,0,12,2.0,12.0,0
DARREN SPROLES,PHI,33,RB,2,1,7,4,57.1,32,8.0,0,15,2.0,16.0,0
FOZZY WHITTAKER,CAR,27,"",2,0,5,4,80.0,35,8.8,0,24,2.0,17.5,1
JARON BROWN,ARI,26,WR,2,1,4,3,75.0,96,32.0,1,51,1.5,48.0,0
ISAIAH CROWELL,CLE,23,RB,2,2,3,3,100.0,31,10.3,0,15,1.5,15.5,0
LANCE DUNBAR,DAL,26,"",2,0,4,3,75.0,42,14.0,0,16,1.5,21.0,0
ANDRE ELLINGTON,ARI,27,"",2,0,3,3,100.0,17,5.7,0,12,1.5,8.5,0
EZEKIEL ELLIOTT,DAL,21,RB,2,2,3,3,100.0,5,1.7,0,3,1.5,2.5,2
COBY FLEENER,NOR,28,TE,2,1,12,3,25.0,35,11.7,0,21,1.5,17.5,0
ARIAN FOSTER,MIA,30,RB,2,2,5,3,60.0,62,20.7,0,50,1.5,31.0,1
DEVIN FUNCHESS,CAR,22,WR,2,2,8,3,37.5,28,9.3,1,16,1.5,14.0,0
TED GINN,CAR,31,"",2,0,5,3,60.0,56,18.7,0,52,1.5,28.0,1
MELVIN GORDON,SDG,23,RB,2,1,3,3,100.0,18,6.0,0,11,1.5,9.0,0
RYAN GRIFFIN,HOU,26,"",2,0,4,3,75.0,22,7.3,0,12,1.5,11.0,0
ANDREW HAWKINS,CLE,30,"",2,0,6,3,50.0,28,9.3,0,16,1.5,14.0,0
DERRICK HENRY,TEN,22,RB,2,1,3,3,100.0,50,16.7,0,29,1.5,25.0,0
JEREMY HILL,CIN,24,HB,2,2,5,3,60.0,37,12.3,0,25,1.5,18.5,0
TYREEK HILL,KAN,22,"",2,0,3,3,100.0,17,5.7,1,9,1.5,8.5,0
RASHAD JENNINGS,NYG,31,RB,2,2,4,3,75.0,16,5.3,0,7,1.5,8.0,0
CHARLES JOHNSON,MIN,27,WR,2,2,8,3,37.5,20,6.7,0,10,1.5,10.0,0
KYLE JUSZCZYK,BAL,25,FB,2,1,5,3,60.0,29,9.7,0,12,1.5,14.5,0
TYLER KROFT,CIN,24,"",2,0,4,3,75.0,35,11.7,0,21,1.5,17.5,0
JEREMY LANGFORD,CHI,25,RB,2,2,6,3,50.0,12,4.0,0,6,1.5,6.0,1
JALIN MARSHALL,NYJ,21,"",2,0,4,3,75.0,45,15.0,0,27,1.5,22.5,1
VANCE MCDONALD,SFO,26,TE,2,2,5,3,60.0,89,29.7,2,75,1.5,44.5,0
MALCOLM MITCHELL,NWE,24,WR,2,1,7,3,42.9,48,16.0,0,28,1.5,24.0,0
JORDAN NORWOOD,DEN,30,WR,2,2,5,3,60.0,24,8.0,0,9,1.5,12.0,0
BRESHAD PERRIMAN,BAL,23,"",2,0,7,3,42.9,67,22.3,0,35,1.5,33.5,0
